AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,SOLIDITY,ROUNDNESS,COMPACTNESS,class
422163,2378.908,837.8484,645.6693,0.9947,0.9374,0.875,1
338136,2085.144,723.8198,595.2073,0.9974,0.9773,0.9065,1
526843,2647.394,940.7379,715.3638,0.9962,0.9446,0.8706,1
416063,2351.21,827.9804,645.2988,0.9948,0.9458,0.8791,1
347562,2160.354,763.9877,582.8359,0.9908,0.9358,0.8707,1
408953,2326.6931,840.1821,622.0076,0.9974,0.9493,0.8589,1
451414,2457.208,889.3253,652.4316,0.997,0.9395,0.8525,1
382636,2275.7791,808.0833,609.2819,0.9931,0.9284,0.8638,1
546063,2714.948,916.3737,766.4536,0.9882,0.931,0.9099,1
420044,2391.123,836.928,645.1822,0.9918,0.9232,0.8738,1
364495,2216.49,790.9014,590.7698,0.9949,0.9323,0.8613,1
404243,2345.5349,823.7634,628.8527,0.9921,0.9234,0.8709,1
407789,2308.4099,788.727,664.5451,0.9958,0.9617,0.9136,1
340451,2098.1631,724.4111,600.3284,0.9971,0.9718,0.9089,1
467092,2514.2429,895.3616,669.6182,0.9946,0.9285,0.8613,1
386374,2265.666,826.3535,597.2911,0.9968,0.9459,0.8488,1
413069,2350.4109,821.2114,645.8047,0.9917,0.9396,0.8831,1
396792,2291.0701,790.0845,644.6891,0.9967,0.9499,0.8996,1
358545,2199.5081,775.7432,593.731,0.9911,0.9313,0.871,1
397744,2337.2251,869.5142,583.949,0.9947,0.915,0.8184,1
398901,2299.335,812.7031,628.3113,0.9965,0.9481,0.8769,1
342155,2151.896,760.6585,575.3604,0.9904,0.9285,0.8677,1
408220,2317.6689,769.1027,681.1285,0.9927,0.955,0.9374,1
306560,2015.198,715.4261,547.121,0.9952,0.9486,0.8733,1
354590,2181.739,772.2312,587.454,0.9954,0.9361,0.8701,1
381508,2239.7891,734.2203,666.2502,0.9919,0.9557,0.9492,1
356022,2170.3101,756.3358,603.8934,0.9942,0.9498,0.8902,1
394859,2315.978,863.4825,583.743,0.9969,0.9251,0.8212,1
389859,2265.5581,804.163,619.6666,0.9967,0.9545,0.8761,1
342514,2154.021,764.3176,573.2928,0.9912,0.9277,0.864,1
414954,2325.3181,774.8641,684.9321,0.9941,0.9644,0.9381,1
314313,2040.285,728.9534,550.9473,0.9943,0.9488,0.8678,1
347694,2187.4561,791.2161,563.1738,0.9898,0.9131,0.8409,1
423905,2363.958,836.8923,646.8287,0.9969,0.9532,0.8778,1
445381,2407.5071,807.8385,705.3541,0.9964,0.9656,0.9322,1
409607,2351.354,835.5469,627.9048,0.9912,0.931,0.8643,1
419554,2354.084,832.2401,643.96,0.996,0.9514,0.8782,1
426810,2389.9141,836.486,655.8799,0.9939,0.939,0.8813,1
443805,2390.481,797.2593,710.5616,0.9973,0.976,0.9429,1
402279,2295.863,798.9365,643.2753,0.9936,0.9591,0.8958,1
426661,2412.625,845.353,645.3922,0.9891,0.9211,0.8719,1
439197,2437.428,829.2604,677.1343,0.9893,0.929,0.9018,1
442845,2422.366,836.9063,677.0573,0.9941,0.9484,0.8972,1
424225,2391.501,838.0681,650.075,0.9946,0.9321,0.8769,1
