Page total likes,Type,Lifetime Post Total Reach,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,comment,like,share,Total Interactions
139441,Photo,2752,178,109,159,4,79,17,100
139441,Status,10460,1457,1361,1674,5,130,29,164
139441,Photo,2413,177,113,154,0,66,14,80
139441,Photo,50128,2211,790,1119,58,1572,147,1777
139441,Photo,7244,671,410,580,19,325,49,393
139441,Status,10472,1191,1073,1389,1,152,33,186
139441,Photo,11692,481,265,364,3,249,27,279
139441,Photo,13720,537,232,305,0,325,14,339
139441,Status,11844,1530,1407,1692,0,161,31,192
139441,Photo,4694,280,183,250,3,113,26,142
139441,Status,21744,4258,4100,4540,0,233,19,252
139441,Photo,3112,208,127,145,0,88,18,106
139441,Photo,2847,193,115,133,0,90,14,104
139441,Photo,2549,249,134,168,5,137,10,152
138414,Photo,22784,887,337,417,2,577,20,599
138414,Status,10060,1264,1209,1425,4,86,18,108
138414,Photo,1722,163,123,148,2,40,12,54
138414,Photo,53264,1706,1103,1655,15,678,20,713
138414,Status,3930,130,86,112,4,54,17,75
138414,Photo,1591,121,88,111,0,34,8,42
138414,Photo,2848,200,142,184,3,66,12,81
138414,Photo,1384,15,15,20,0,0,0,0
138414,Link,3454,118,104,130,0,16,2,18
138414,Photo,2723,176,118,143,0,72,24,96
138414,Status,8488,1341,1270,1489,3,99,19,121
138458,Status,8284,1521,1462,1711,0,88,18,106
138458,Status,19552,2806,2531,3420,10,412,72,494
138458,Photo,2478,212,124,149,0,100,17,117
138895,Photo,9560,973,559,885,36,523,63,622
138895,Video,36208,1141,1068,1728,18,143,13,174
138895,Photo,4940,385,306,501,33,107,22,162
138895,Photo,1683,192,171,221,1,27,11,39
138895,Photo,5280,368,237,345,2,155,47,204
138895,Photo,3002,268,185,247,4,98,23,125
138895,Photo,3766,298,260,431,2,56,17,75
138895,Photo,4512,423,284,431,6,172,21,199
138895,Photo,2690,252,168,226,0,96,17,113
138895,Photo,19800,479,424,805,16,76,8,100
138895,Status,17576,5352,5202,6547,11,227,31,269
138895,Photo,3290,306,284,402,1,44,14,59
