Type,Lifetime Post Total Reach,Lifetime Engaged Users,comment,like,share,Total Interactions
1,2752,178,4,79,17,100
3,10460,1457,5,130,29,164
1,2413,177,0,66,14,80
1,50128,2211,58,1572,147,1777
1,7244,671,19,325,49,393
3,10472,1191,1,152,33,186
1,11692,481,3,249,27,279
1,13720,537,0,325,14,339
3,11844,1530,0,161,31,192
1,4694,280,3,113,26,142
3,21744,4258,0,233,19,252
1,3112,208,0,88,18,106
1,2847,193,0,90,14,104
1,2549,249,5,137,10,152
1,22784,887,2,577,20,599
3,10060,1264,4,86,18,108
1,1722,163,2,40,12,54
1,53264,1706,15,678,20,713
3,3930,130,4,54,17,75
1,1591,121,0,34,8,42
1,2848,200,3,66,12,81
1,1384,15,0,0,0,0
4,3454,118,0,16,2,18
1,2723,176,0,72,24,96
3,8488,1341,3,99,19,121
3,8284,1521,0,88,18,106
3,19552,2806,10,412,72,494
1,2478,212,0,100,17,117
1,9560,973,36,523,63,622
2,36208,1141,18,143,13,174
1,4940,385,33,107,22,162
1,1683,192,1,27,11,39
1,5280,368,2,155,47,204
1,3002,268,4,98,23,125
1,3766,298,2,56,17,75
1,4512,423,6,172,21,199
1,2690,252,0,96,17,113
1,19800,479,16,76,8,100
3,17576,5352,11,227,31,269
1,3290,306,1,44,14,59
3,13280,2055,7,216,39,262
4,18480,517,6,187,18,211
1,7268,2087,7,26,3,36
4,2645,134,7,29,10,46
1,4284,355,0,47,11,58
4,7968,206,4,57,10,71
3,16576,3572,4,174,36,214
4,1925,97,6,18,8,32
1,3786,338,0,77,15,92
4,1536,84,1,12,1,14
1,1728,108,1,48,9,58
1,25248,726,24,285,28,337
1,4894,355,9,202,31,242
1,2935,237,4,64,19,87
1,2425,260,4,66,13,83
2,16416,459,2,65,14,81
1,5812,343,2,164,54,220
1,2545,165,0,40,13,53
1,2257,230,3,76,11,90
1,27072,421,4,139,17,160
1,10940,417,8,101,14,123
1,50912,630,8,144,10,162
1,28752,802,10,179,13,202
1,27216,541,4,219,22,245
1,2352,232,2,60,7,69
1,3416,356,19,77,23,119
1,2149,197,0,48,7,55
1,53456,1576,20,697,70,787
1,2168,211,0,53,17,70
1,3102,360,7,84,28,119
1,39344,588,7,146,9,162
2,100768,2101,17,449,84,550
3,9056,1006,3,226,44,273
1,11444,555,14,172,47,233
2,13544,517,2,99,13,114
1,37376,1150,20,411,74,505
1,1228,17,0,0,0,0
1,22984,438,4,85,8,97
1,1445,217,0,56,8,64
1,3754,658,2,29,7,38
3,8728,2295,2,86,13,101
1,5990,657,18,370,53,441
1,4582,454,5,190,57,252
1,2938,321,2,101,19,122
3,6692,199,2,99,16,117
1,2566,384,10,140,8,158
4,21176,330,2,130,31,163
1,4012,550,3,270,38,311
1,1531,212,3,30,6,39
1,2938,374,2,107,17,126
1,24720,845,13,331,77,421
1,2219,287,0,78,13,91
1,4732,607,9,301,32,342
1,2225,310,2,111,16,129
1,2626,316,2,124,22,148
1,3090,391,5,153,27,185
1,1101,324,3,51,11,65
1,2819,318,1,115,26,142
3,12468,2143,7,310,61,378
1,12776,785,12,328,90,430
1,1357,37,0,0,0,0
1,68896,2624,26,1505,95,1626
1,1711,288,2,63,14,79
1,1388,224,0,13,4,17
1,2645,357,4,59,9,72
1,70144,3216,42,955,139,1136
1,3674,452,9,181,32,222
3,9504,1132,17,193,28,238
1,2426,320,7,125,16,148
3,13872,2664,4,217,50,271
1,1673,338,2,28,4,34
1,2428,311,4,117,18,139
1,2227,369,2,79,16,97
1,1592,370,0,15,2,17
1,813,323,0,4,2,6
1,32208,1810,1,431,26,458
1,729,303,0,7,0,7
1,834,399,0,7,2,9
1,786,263,0,6,2,8
3,15816,2733,6,186,40,232
1,619,257,1,1,2,4
1,617,229,1,3,2,6
1,677,236,0,7,2,9
1,3366,474,3,198,41,242
1,747,226,0,9,1,10
1,645,195,0,4,1,5
1,754,206,0,3,0,3
1,910,207,0,8,2,10
1,3906,868,0,7,3,10
1,659,199,1,7,2,10
1,652,214,0,11,1,12
1,861,214,2,28,4,34
1,3690,424,0,56,12,68
4,4664,204,0,32,16,48
1,1080,210,4,32,3,39
3,8896,1480,0,129,25,154
1,4018,428,4,77,19,100
4,68992,1032,15,143,44,202
3,13152,2543,2,227,36,265
3,31136,6164,60,859,90,1009
1,16776,714,10,377,60,447
1,50736,1462,3,41,9,53
1,5324,528,6,76,14,96
1,18120,421,0,189,15,204
1,2291,303,0,80,14,94
3,10744,1967,3,148,28,179
4,3616,111,0,24,11,35
1,39984,2105,24,302,41,367
1,4010,477,2,166,32,200
1,6564,806,47,358,49,454
1,8612,813,7,161,25,193
1,5568,746,13,319,55,387
1,1685,322,0,54,16,70
1,3756,469,16,117,30,163
1,2656,390,1,115,21,137
1,5086,622,30,187,35,252
1,2055,346,1,84,13,98
1,9384,757,6,363,40,409
1,3992,598,6,244,32,282
1,7512,769,22,290,98,410
3,11096,1843,4,243,41,288
1,2790,435,0,113,19,132
1,13856,519,2,77,5,84
1,10748,892,8,485,64,557
1,41984,3370,144,1622,208,1974
1,2522,455,6,99,16,121
1,4480,572,3,188,26,217
1,1543,360,2,30,6,38
3,21256,4840,38,163,27,228
1,4484,545,6,179,40,225
1,4398,584,5,204,34,243
3,13216,2675,2,165,22,189
1,22304,1805,29,1047,98,1174
1,6208,644,2,234,40,276
1,4518,626,7,250,42,299
1,3582,537,4,154,36,194
3,9124,1476,20,150,29,199
1,14152,631,4,102,8,114
1,4260,588,1,226,44,271
2,30624,2080,6,345,121,472
1,2363,393,11,68,11,90
1,2232,374,0,62,10,72
1,4048,544,5,223,35,263
1,1804,330,0,61,6,67
1,2351,371,1,104,12,117
1,3100,518,3,146,15,164
1,2360,436,2,102,15,119
1,19648,1359,9,766,43,818
1,2295,377,0,63,7,70
1,3934,512,3,113,17,133
1,34512,1666,6,442,42,490
1,5282,703,9,278,43,330
1,1809,399,2,64,7,73
1,1920,365,1,52,7,60
1,1954,356,0,30,2,32
1,33536,1954,33,1155,102,1290
1,4204,498,2,139,25,166
1,3376,428,0,40,5,45
3,9236,1151,2,53,15,70
1,72864,946,4,220,19,243
1,3358,394,2,114,16,132
1,3254,371,0,39,3,42
1,50640,2240,4,859,68,931
1,3734,529,5,137,20,162
1,2594,347,1,54,11,66
